species,AugQ50,SAIFR,Screen,POmodel,POmeasure,PO10R,PO20R,PO30R,PO40R,PO50R,delPO_10percRed,delPO_20percRed,delPO_30percRed,delPO_40percRed,delPO_50percRed
brown trout,0.0,0.044650973293130954,False,0.134,0.002100427538930692,0.001865222415277338,0.0016336229934411882,0.001342895078700443,0.0010717116037715294,0.0007771437784677662,0.00023520512365335388,0.00046680454548950374,0.0007575324602302489,0.0010287159351591625,0.0013232837604629259
brown trout,0.5,0.03484909669590849,False,0.134,0.0032843349271760133,0.002813112537133172,0.002371795040241223,0.0018754173547275961,0.001436648788824784,0.0009984395137540543,0.0004712223900428412,0.0009125398869347903,0.0014089175724484172,0.0018476861383512294,0.002285895413421959
brown trout,1.0,0.02677155528194209,False,0.134,0.0046452051170583104,0.0037776415653449752,0.0031200598941422543,0.0024131963486106797,0.0018040570865883263,0.0012206451852239792,0.0008675635517133352,0.0015251452229160562,0.002232008768447631,0.002841148030469984,0.0034245599318343312
brown trout,1.5,0.022423742091459652,False,0.134,0.00798470607649301,0.006204292699473728,0.004652714011745616,0.003193330985832003,0.0021739616814339534,0.001443766416729531,0.001780413377019281,0.003331992064747393,0.004791375090661006,0.005810744395059056,0.006540939659763478
brown trout,2.0,0.020136823048593856,False,0.134,0.01195539107014988,0.008986851534072283,0.006779752810460508,0.004712254951742544,0.0030708068378735576,0.001728620994387814,0.0029685395360775964,0.005175638259689372,0.007243136118407336,0.008884584232276322,0.010226770075762066
brown trout,2.5,0.018235063384797866,False,0.134,0.018860977703729992,0.013689353864063508,0.009345961027927422,0.006273606381480107,0.004123646744051895,0.0023626914376872234,0.005171623839666484,0.00951501667580257,0.012587371322249885,0.014737330959678097,0.01649828626604277
brown trout,3.0,0.018511138317764624,False,0.134,0.026782353078657294,0.019548234728151793,0.013675299809661482,0.008612334611247963,0.00519680694067831,0.0030041950112408666,0.007234118350505501,0.013107053268995812,0.01817001846740933,0.021585546137978983,0.023778158067416427
brown trout,3.5,0.018304917574244642,False,0.134,0.03641892688726634,0.026471073601516373,0.018339043564191127,0.011823877912607238,0.006899904294866421,0.003653263192209324,0.009947853285749968,0.018079883323075214,0.024595048974659105,0.02951902259239992,0.03276566369505702
brown trout,4.0,0.019550680852609068,False,0.134,0.04644891823148108,0.03456981320653193,0.023973305438962474,0.015218809392846781,0.009108157133195087,0.004508792402647164,0.011879105024949155,0.02247561279251861,0.0312301088386343,0.037340761098286,0.04194012582883392
brown trout,4.5,0.021804298028338553,False,0.134,0.055088005832070866,0.042455632673239,0.03032156233383739,0.019339927673309797,0.011403664507602374,0.005851500419307024,0.012632373158831867,0.024766443498233474,0.03574807815876107,0.043684341324468495,0.049236505412763844
brown trout,5.0,0.022930346563198173,False,0.134,0.06335574706414275,0.049540921612305715,0.03655622705340166,0.02393752469708443,0.014001707028036053,0.007226914024431245,0.013814825451837036,0.02679952001074109,0.03941822236705832,0.049354040036106696,0.05612883303971151
brown trout,5.5,0.025846863977603576,True,0.134,0.06997564122101899,0.05643905874013209,0.04201369701515562,0.028882144226643217,0.01708384004736553,0.008636242911507695,0.013536582480886898,0.027961944205863364,0.04109349699437577,0.052891801173653455,0.061339398309511295
brown trout,6.0,0.025529503909709324,True,0.134,0.07684485768059465,0.061794651857486345,0.047902254074294257,0.03282838981651409,0.020326980090128052,0.01026883969541556,0.015050205823108308,0.028942603606300396,0.04401646786408056,0.0565178775904666,0.06657601798517909
brown trout,6.5,0.025493005875787924,True,0.134,0.0838919751389793,0.06743805527803107,0.05206518362396028,0.03701055569046536,0.02361060013565835,0.012185519270094175,0.016453919860948227,0.031826791515019014,0.046881419448513935,0.06028137500332094,0.07170645586888512
brown trout,7.0,0.023770574571899863,True,0.134,0.09253651782898653,0.07307200771605521,0.0563837094483598,0.04106948722286043,0.02636914061202628,0.01416584827853264,0.01946451011293132,0.03615280838062673,0.0514670306061261,0.06616737721696025,0.0783706695504539
brown trout,7.5,0.021545157039955597,True,0.134,0.10303947812828296,0.07912703276128102,0.06077326271358434,0.04416620093204678,0.02924664148833824,0.016213050775677026,0.023912445367001933,0.04226621541469862,0.058873277196236175,0.07379283663994471,0.08682642735260593
brown trout,8.0,0.02011177494064847,True,0.134,0.1162006215051642,0.08731191778605386,0.06526579936050853,0.047395135501276574,0.03225096748896442,0.018078824074212293,0.028888703719110342,0.05093482214465568,0.06880548600388764,0.08394965401619978,0.09812179743095191
brown trout,8.5,0.018362025812360287,True,0.134,0.13226545314219895,0.09624942351295038,0.07021834368444846,0.05068123724783108,0.03441776358905915,0.01982948531695731,0.036016029629248575,0.06204710945775049,0.08158421589436787,0.0978476895531398,0.11243596782524165
brown trout,9.0,0.017756374750343275,True,0.134,0.15039519329860399,0.10804555959995257,0.0766923949622434,0.054022893083392996,0.03660967974516369,0.021629815303935346,0.04234963369865141,0.07370279833636059,0.09637230021521098,0.1137855135534403,0.12876537799466864
brown trout,9.5,0.01723669640130663,True,0.134,0.17125705552239542,0.12157901643208185,0.0836571591234187,0.05750917457371685,0.038870572564128965,0.023481958210957662,0.04967803909031357,0.08759989639897672,0.11374788094867858,0.13238648295826647,0.14777509731143776
brown trout,10.0,0.017640010604486455,True,0.134,0.1907977296960501,0.13671677306456034,0.09257796362010366,0.06199967523096211,0.04114817690909636,0.024958230619801156,0.05408095663148976,0.09821976607594644,0.128798054465088,0.14964955278695374,0.16583949907624895
brown trout,10.5,0.01838787067387524,True,0.134,0.21140442848789548,0.15391967882945604,0.10289538955699198,0.06704355871899503,0.043478885840526706,0.026322290141801326,0.057484749658439444,0.1085090389309035,0.14436086976890045,0.16792554264736878,0.18508213834609416
brown trout,11.0,0.020182009306707393,True,0.134,0.22677035091841471,0.17058903926798136,0.1143488934147473,0.07239762384107806,0.04588405978377402,0.027714827049683047,0.05618131165043336,0.11242145750366742,0.15437272707733665,0.1808862911346407,0.19905552386873165
brown trout,11.5,0.022177752702357504,True,0.134,0.24180704308749199,0.1872913655225176,0.1271489034809546,0.07967263774142883,0.048820091260392114,0.029136742531391986,0.054515677564974385,0.1146581396065374,0.16213440534606316,0.19298695182709988,0.2126703005561
brown trout,12.0,0.025862856066443368,True,0.134,0.250891837766115,0.20238755867150193,0.14151953652717061,0.08756233688599246,0.05227145384347617,0.030578742789372452,0.04850427909461308,0.1093723012389444,0.16332950088012255,0.19862038392263884,0.22031309497674256
brown trout,12.5,0.028825689153479953,True,0.134,0.25961846696959295,0.21458598473000512,0.15408734453050146,0.09621053241633257,0.055879088567914986,0.03205043806076682,0.045032482239587834,0.10553112243909149,0.1634079345532604,0.20373937840167797,0.22756802890882613
brown trout,13.0,0.034558732492412265,True,0.134,0.2637502531618737,0.22559054154343067,0.1677253044471072,0.10586845696345158,0.06004332627890925,0.03355394038930263,0.03815971161844306,0.09602494871476652,0.15788179619842213,0.2037069268829645,0.2301963127725711
brown trout,13.5,0.03830411363728601,True,0.134,0.2677065854067862,0.2327616982933829,0.17957473080877834,0.11648979905779921,0.06525217630459346,0.0351188053300245,0.03494488711340332,0.08813185459800787,0.151216786348987,0.20245440910219276,0.23258778007676173
brown trout,14.0,0.04539281503557516,True,0.134,0.26906086009507946,0.23942391646377878,0.1893888258109077,0.12691668220615207,0.07079616347356592,0.03727515158659982,0.029636943631300677,0.07967203428417174,0.1421441778889274,0.19826469662151353,0.23178570850847963
brown trout,14.5,0.049219902918977106,True,0.134,0.27029901572149,0.2428407112865503,0.19924944105493153,0.1369391856028769,0.07675548222071107,0.039497902869583254,0.027458304434939712,0.07104957466655848,0.1333598301186131,0.19354353350077894,0.23080111285190674
brown trout,15.0,0.05531268538913206,True,0.134,0.2706602945727625,0.2461939092699489,0.2050088132161128,0.14785866437418663,0.08347919988674744,0.041790174578635854,0.024466385302813615,0.06565148135664972,0.1228016301985759,0.18718109468601507,0.22887011999412668
brown trout,15.5,0.05742566220588085,True,0.134,0.2709358726918999,0.24734573352027409,0.2109889002554394,0.1562567284442877,0.09071341847652731,0.0443232239275399,0.023590139171625807,0.059946972436460494,0.11467914424761219,0.18022245421537259,0.22661264876436
brown trout,16.0,0.06039377109185843,True,0.134,0.2709358726918999,0.2485050931765912,0.2146995447175018,0.16398604061548153,0.09851857221308626,0.04764312874719062,0.022430779515308696,0.05623632797439809,0.10694983207641837,0.17241730047881365,0.22329274394470927
brown trout,16.5,0.06143093893986889,True,0.134,0.2709358726918999,0.2488838027278462,0.21750582936573387,0.17218280237619016,0.10545171483600212,0.05111189052903278,0.022052069964053705,0.05343004332616602,0.09875307031570973,0.16548415785589776,0.2198239821628671
brown trout,17.0,0.062300743221287695,True,0.134,0.2709358726918999,0.24919168003198605,0.2197567165901799,0.17669788484248025,0.11272256173638417,0.054739750479386236,0.02174419265991384,0.05117915610172,0.09423798784941964,0.15821331095551572,0.21619612221251366
brown trout,17.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.22069786586510445,0.18136136394447575,0.12050850623871327,0.05868252174629996,0.021688889421501684,0.05023800682679544,0.08957450874742415,0.1504273664531866,0.21225335094559994
brown trout,18.0,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.22164445096987387,0.1855059292328717,0.12662247480990996,0.06310508163691692,0.021688889421501684,0.049291421722026024,0.08542994345902818,0.14431339788198994,0.20783079105498298
brown trout,18.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2219609069048026,0.18770689094378692,0.13211151130954746,0.06777009589544675,0.021688889421501684,0.048974965787097285,0.08322898174811297,0.13882436138235243,0.20316577679645315
brown trout,19.0,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2222122330828515,0.18994121663038616,0.13786459232114726,0.07269806425692359,0.021688889421501684,0.04872363960904838,0.08099465606151374,0.13307128037075264,0.1982378084349763
brown trout,19.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.19144308560535786,0.14246614684763712,0.07749171033895334,0.021688889421501684,0.048609945606908594,0.07949278708654203,0.12846972584426278,0.19344416235294654
brown trout,20.0,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.19218979007373035,0.14577043941249976,0.08210654250564323,0.021688889421501684,0.048609945606908594,0.07874608261816954,0.12516543327940013,0.18882933018625667
brown trout,20.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.19294023939083627,0.14916341112685513,0.0869580584297442,0.021688889421501684,0.048609945606908594,0.07799563330106363,0.12177246156504476,0.1839778142621557
brown trout,21.0,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.1932777621015087,0.15208421937837777,0.09206494575342869,0.021688889421501684,0.048609945606908594,0.07765811059039118,0.11885165331352213,0.1788709269384712
brown trout,21.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.1934770892484755,0.15368023408163975,0.096194990366937,0.021688889421501684,0.048609945606908594,0.07745878344342438,0.11725563861026014,0.17474088232496288
brown trout,22.0,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.193665696687148,0.15529602795606606,0.09980309482493974,0.021688889421501684,0.048609945606908594,0.07727017600475189,0.11563984473583383,0.17113277786696016
brown trout,22.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.193665696687148,0.15683988321288808,0.1035415993240895,0.021688889421501684,0.048609945606908594,0.07727017600475189,0.11409598947901181,0.16739427336781038
brown trout,23.0,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.193665696687148,0.15738131907147315,0.10741770311476037,0.021688889421501684,0.048609945606908594,0.07727017600475189,0.11355455362042674,0.16351816957713952
brown trout,23.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.193665696687148,0.15792498100836028,0.10994994365378172,0.021688889421501684,0.048609945606908594,0.07727017600475189,0.11301089168353962,0.16098592903811818
brown trout,24.0,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.193665696687148,0.15847088278039384,0.1121646873705064,0.021688889421501684,0.048609945606908594,0.07727017600475189,0.11246498991150605,0.1587711853213935
brown trout,24.5,0.062459600265033166,True,0.134,0.2709358726918999,0.2492469832703982,0.2223259270849913,0.193665696687148,0.15866596405433553,0.11442509864944649,0.021688889421501684,0.048609945606908594,0.07727017600475189,0.11226990863756436,0.1565107740424534
